"Feature Type","Version","Status","Launch Date","Latest Date","Change"
"trn_rami_specialdesignationarea","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Special Designation Area Feature Type."
"trn_rami_specialdesignationline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Special Designation Line Feature Type."
"trn_rami_specialdesignationpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Special Designation Point Feature Type."
"wtr_fts_intertidalline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Inter Tidal Line Feature Type."
"wtr_fts_riverbasindistrictcatchment","1.0","Latest","28 March 2023","Ongoing","Initial launch of the River Basin District Catchment Feature Type."
"wtr_fts_tidalboundary","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Tidal Boundary Feature Type."
"wtr_fts_tidalboundarycontinuoushigh","1.0","Latest","25 September 2025","Ongoing","Initial launch of the Tidal Boundary Continuous High Feature Type."
"wtr_fts_tidalboundarycontinuouslow","1.0","Latest","25 September 2025","Ongoing","Initial launch of the Tidal Boundary Continuous Low Feature Type."
"wtr_fts_water","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Water Feature Type."
"wtr_fts_water","2.0","Maintenance","27 March 2024","Ongoing","Major version increment adding the Habitat Coverage cross-reference table."
"wtr_fts_water","3.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site."
"wtr_fts_water","3.1","Latest","27 March 2025","Ongoing","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"wtr_fts_waterbodycatchment","1.0","Latest","28 March 2023","Ongoing","Initial launch of the Water Body Catchment Feature Type."
"wtr_fts_waterpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Water Point Feature Type."
"wtr_ntwk_waterlink","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Water Link Feature Type."
"wtr_ntwk_waterlink","2.0","Latest","31 October 2025","Ongoing","Major version increment adding new Width Average, Width Minimum, Width Maximum, Width Derivation Method, Width Evidence Date, Width Update Date, and Description Capture Method attribution."
"wtr_ntwk_waterlinkset","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Water Link Set Feature Type."
"wtr_ntwk_waternode","1.0","End Of Life","29 September 2022","27 October 2025","Initial launch of the Water Node Feature Type."
"wtr_ntwk_waternode","1.1","Latest","28 October 2025","Ongoing","Minor version increment that adds Tidal Outlet to the Water Node Description Value Code List and increases the Description attribute's max length from 8 to 12."
